source_file,puzzle_file,puzzle_name,difficulty,algorithm,solved,solution_length,states_explored,max_memory_kb,time_seconds
results/medium_22_DFS_20260411_201326.txt,puzzles/medium/medium_22.txt,medium_22.txt,Medium,DFS,True,75,76,299.3046875,0.008717962999995166
results/easy_24_WAstar_W_1_5_20260411_184110.txt,puzzles/easy/easy_24.txt,easy_24.txt,Easy,WA* (W=1.5),True,6,7,7.484375,0.0013549239956773818
results/medium_23_BFS_20260411_203336.txt,puzzles/medium/medium_23.txt,medium_23.txt,Medium,BFS,True,13,27444,36362.2109375,4.5669356490000155
results/hard_20_Greedy_20260411_205412.txt,puzzles/hard/hard_20.txt,hard_20.txt,Hard,Greedy,True,44,45,328.0234375,0.028213863000019046
results/easy_7_BFS_20260411_182112.txt,puzzles/easy/easy_7.txt,easy_7.txt,Easy,BFS,True,10,1516,1243.8671875,0.2407779240020318
results/easy_21_Greedy_20260411_184704.txt,puzzles/easy/easy_21.txt,easy_21.txt,Easy,Greedy,True,11,12,13.6328125,0.005086874996777624
results/easy_9_Astar_20260411_183924.txt,puzzles/easy/easy_9.txt,easy_9.txt,Easy,A*,True,7,8,10.8828125,0.004276805993868038
results/easy_9_IDDFS_20260411_183831.txt,puzzles/easy/easy_9.txt,easy_9.txt,Easy,IDDFS,True,7,15159,107.96875,0.7243356160033727
results/easy_24_Greedy_20260411_184056.txt,puzzles/easy/easy_24.txt,easy_24.txt,Easy,Greedy,True,6,7,7.453125,0.0024453789956169203
results/hard_13_Greedy_20260411_214620.txt,puzzles/hard/hard_13.txt,hard_13.txt,Hard,Greedy,True,28,29,201.828125,0.016424835999941934
results/hard_25_Greedy_20260411_220603.txt,puzzles/hard/hard_25.txt,hard_25.txt,Hard,Greedy,True,63,64,1031.1015625,0.048153166999782115
results/medium_23_DFS_20260411_203352.txt,puzzles/medium/medium_23.txt,medium_23.txt,Medium,DFS,True,65,66,199.1484375,0.013685958999985814
results/hard_18_Astar_20260411_221946.txt,puzzles/hard/hard_18.txt,hard_18.txt,Hard,A*,True,29,30,261.0078125,0.012883157000032952
results/medium_23_Greedy_20260411_203539.txt,puzzles/medium/medium_23.txt,medium_23.txt,Medium,Greedy,True,13,14,35.78125,0.008063314999844806
results/medium_7_WAstar_W_1_5_20260411_202713.txt,puzzles/medium/medium_7.txt,medium_7.txt,Medium,WA* (W=1.5),True,16,17,50.3046875,0.005993799000066247
results/medium_14_DFS_20260411_195016.txt,puzzles/medium/medium_14.txt,medium_14.txt,Medium,DFS,True,147,148,917.5546875,0.022135029998025857
results/easy_24_Astar_20260411_184105.txt,puzzles/easy/easy_24.txt,easy_24.txt,Easy,A*,True,5,10,9.0546875,0.0038517639914061874
results/easy_2_UCS_20260411_180342.txt,puzzles/easy/easy_2.txt,easy_2.txt,Easy,UCS,True,3,23,23.6328125,0.0016166150016942993
results/medium_7_BFS_20260411_202149.txt,puzzles/medium/medium_7.txt,medium_7.txt,Medium,BFS,True,16,29128,32333.0703125,4.829358372999991
results/easy_15_Greedy_20260411_184427.txt,puzzles/easy/easy_15.txt,easy_15.txt,Easy,Greedy,True,7,8,11.28125,0.004388269997434691
results/easy_18_WAstar_W_1_5_20260411_183220.txt,puzzles/easy/easy_18.txt,easy_18.txt,Easy,WA* (W=1.5),True,13,14,28.0859375,0.010933423996903002
results/hard_24_WAstar_W_1_5_20260411_220018.txt,puzzles/hard/hard_24.txt,hard_24.txt,Hard,WA* (W=1.5),True,71,72,1414.015625,0.06448517400031051
results/easy_22_Greedy_20260411_181615.txt,puzzles/easy/easy_22.txt,easy_22.txt,Easy,Greedy,True,16,17,26.1015625,0.006792439002310857
results/medium_14_Astar_20260411_195411.txt,puzzles/medium/medium_14.txt,medium_14.txt,Medium,A*,True,16,17,49.875,0.008107974004815333
results/easy_12_IDDFS_20260409_211428.txt,puzzles/easy/easy_12.txt,easy_12.txt,Easy,IDDFS,True,9,320974,178.5546875,7.43610490399999
results/medium_14_WAstar_W_1_5_20260411_195521.txt,puzzles/medium/medium_14.txt,medium_14.txt,Medium,WA* (W=1.5),True,16,17,49.8984375,0.008562197996070608
results/easy_7_Greedy_20260411_182343.txt,puzzles/easy/easy_7.txt,easy_7.txt,Easy,Greedy,True,11,12,14.3828125,0.005144533002749085
results/hard_25_Astar_20260411_220713.txt,puzzles/hard/hard_25.txt,hard_25.txt,Hard,A*,True,62,67,1017.109375,0.04941261499971006
results/easy_22_WAstar_W_1_5_20260411_182024.txt,puzzles/easy/easy_22.txt,easy_22.txt,Easy,WA* (W=1.5),True,16,17,27.390625,0.00713250100670848
results/hard_19_WAstar_W_1_5_20260411_214213.txt,puzzles/hard/hard_19.txt,hard_19.txt,Hard,WA* (W=1.5),True,31,32,132.4296875,0.011726394999868717
results/easy_18_BFS_20260411_182837.txt,puzzles/easy/easy_18.txt,easy_18.txt,Easy,BFS,True,13,7557,7048.6640625,1.5312659429910127
results/medium_22_Astar_20260411_201611.txt,puzzles/medium/medium_22.txt,medium_22.txt,Medium,A*,True,16,17,63.34375,0.00763715300001877
results/test_results.txt,puzzles/easy_1.txt,easy_1.txt,Unknown,BFS,,3,42,,0.004
results/medium_20_DFS_20260411_202750.txt,puzzles/medium/medium_20.txt,medium_20.txt,Medium,DFS,True,200,9848,9382.0546875,1.0428264639999725
results/easy_7_WAstar_W_1_5_20260411_182422.txt,puzzles/easy/easy_7.txt,easy_7.txt,Easy,WA* (W=1.5),True,11,12,15.421875,0.005013841000618413
results/medium_20_Astar_20260411_203215.txt,puzzles/medium/medium_20.txt,medium_20.txt,Medium,A*,True,25,26,123.0390625,0.025985718999891105
results/easy_21_WAstar_W_1_5_20260411_184736.txt,puzzles/easy/easy_21.txt,easy_21.txt,Easy,WA* (W=1.5),True,11,12,14.9140625,0.005521772996871732
results/easy_15_DFS_20260411_184316.txt,puzzles/easy/easy_15.txt,easy_15.txt,Easy,DFS,True,43,44,93.203125,0.009780166990822181
results/easy_9_DFS_20260411_183743.txt,puzzles/easy/easy_9.txt,easy_9.txt,Easy,DFS,True,42,43,82.640625,0.007050724001601338
results/medium_2_Astar_20260411_204807.txt,puzzles/medium/medium_2.txt,medium_2.txt,Medium,A*,True,13,14,25.7265625,0.009466513999996096
results/easy_13_BFS_20260411_180452.txt,puzzles/easy/easy_13.txt,easy_13.txt,Easy,BFS,True,13,7247,6773.8515625,0.5722239250026178
results/easy_12_Astar_20260409_211556.txt,puzzles/easy/easy_12.txt,easy_12.txt,Easy,A*,True,9,10,24.453125,0.002164854000000105
results/medium_13_WAstar_W_1_5_20260411_204348.txt,puzzles/medium/medium_13.txt,medium_13.txt,Medium,WA* (W=1.5),True,16,17,42.6796875,0.009436040000082357
